soru_id,gorev_id,soru_metni,secenek_a,secenek_b,secenek_c,secenek_d,dogru_cevap,aciklama,puan
soru_001,gorev_001,Harput Kalesi rota içinde hangi amaçla başlangıç noktası seçildi?,Güçlü tarihî simge olduğu için,Alışveriş noktası olduğu için,Spor alanı olduğu için,Otopark olduğu için,A,"Kale, projenin tarihî giriş ve rota başlatma noktası olarak güçlüdür.",50
soru_002,gorev_002,Ulu Cami bu projede en çok hangi yönüyle kullanılır?,Mimari ve tarihî bilgi noktası,Doğal mağara noktası,Seyir terası,Modern yapı,A,"Ulu Cami, mimari ve tarihî anlatım için önemli bir duraktır.",50
soru_003,gorev_003,Alacalı Cami görevinde kullanıcıdan ne beklenir?,Mimari detayları incelemesi,Araç kullanması,Mağaraya girmesi,Alışveriş yapması,A,Bu görev mimari gözlem üzerine kuruludur.,50
soru_004,gorev_004,Arap Baba Türbesi için en uygun görev türü hangisidir?,Gizem ve anlatı görevi,Spor görevi,Yemek görevi,Alışveriş görevi,A,Bu nokta anlatı ve soru-cevap görevi için uygundur.,50
soru_005,gorev_005,Meryem Ana Kilisesi Harput rotasında hangi yönü temsil eder?,Çok katmanlı kültürel miras,Sadece modern mimari,Sadece doğal güzellik,Sadece ulaşım noktası,A,Bu durak Harput'un farklı kültürel katmanlarını göstermek için kullanılır.,50
soru_006,gorev_006,Sarahatun Cami görevinde ana odak nedir?,Tarihî ve mimari bilgi,Spor performansı,Araç parkı,Yemek noktası,A,Sarahatun Cami tarihî ve mimari anlatım için kullanılabilir.,50
soru_007,gorev_008,Hamam yapıları projede hangi temayı anlatmak için uygundur?,Günlük yaşam ve sosyal kültür,Savaş teknolojisi,Modern ticaret,Uzay bilimi,A,Hamamlar sosyal yaşam ve gündelik kültür anlatısı için uygundur.,50
soru_008,gorev_009,Cam Seyir Terası görevinde kullanıcıdan ne beklenir?,Manzara üzerinden rotayı zihninde birleştirmesi,Mağara içine girmesi,Soru çözmeden ayrılması,Uygulamayı kapatması,A,Seyir noktası rota bütünlüğünü görsel olarak kavratmak için uygundur.,50
soru_009,gorev_010,Balakgazi Heykeli hangi anlatı türü için daha uygundur?,Kahramanlık ve tarihî temsil,Doğal mağara anlatısı,Hamam kültürü,Mutfak kültürü,A,Heykel kahramanlık ve tarihî temsil anlatımı için kullanılabilir.,50
soru_010,gorev_017,Kale Zindanı görevinin ilk şartı nedir?,Güvenli alandan deneyimi tamamlamak,Koşarak ilerlemek,Kapalı alana izinsiz girmek,Tabelaları yok saymak,A,Zindan ve kale çevresinde güvenlik önceliklidir.,50
soru_011,gorev_024,Buzluk Mağarası görevi neden güvenlik kontrolü içerir?,"Zemin, ışık ve çevresel riskler nedeniyle",Puan az olduğu için,Karakter olmadığı için,Konum şehir dışında olduğu için,A,Doğal ve mağara alanlarında güvenlik kontrolü zorunludur.,50
soru_012,gorev_026,Kilise duraklarında anlatım dili nasıl olmalıdır?,"Saygılı, tarafsız ve kültürel miras odaklı",Alaycı ve taraflı,Sadece oyun odaklı,Kaynaqsız ve uzun,A,Çok kültürlü miras noktalarında tarafsız ve saygılı dil kullanılmalıdır.,50
